title,author,description,url,isbn13,cover_image_uri,genre,text,cluster
The Boleyn Inheritance,philippa gregory,"THREE WOMEN WHO SHARE ONE FATE: THE BOLEYN INHERITANCE ANNE OF CLEVES She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses. KATHERINE HOWARD She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe. JANE ROCHFORD She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul. The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life -- the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.",,9781439124673,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409318443i/16180.jpg,"'Adult'], 'British Literature', 'Fiction', 'Historical', 'Romance', 'Tudor Period', ['Historical Fiction', nan","The Boleyn Inheritance. philippa gregory. 'Adult'], 'British Literature', 'Fiction', 'Historical', 'Romance', 'Tudor Period', ['Historical Fiction', nan. THREE WOMEN WHO SHARE ONE FATE: THE BOLEYN INHERITANCE ANNE OF CLEVES She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses. KATHERINE HOWARD She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe. JANE ROCHFORD She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul. The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life -- the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.",0
Cujo,stephen king,The story that is as grisly as Carrie and as ominous as the Shining. Copyright © Libri GmbH. All rights reserved.,,9780451150646,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1374048926i/11602.jpg,"'Fantasy', 'Fiction', 'Mystery', 'Short Stories', 'Suspense'], 'Thriller', ['Horror', nan","Cujo. stephen king. 'Fantasy', 'Fiction', 'Mystery', 'Short Stories', 'Suspense'], 'Thriller', ['Horror', nan. The story that is as grisly as Carrie and as ominous as the Shining. Copyright © Libri GmbH. All rights reserved.",8
The Better Angels of Our Nature,steven pinker,"'The most inspiring book I've ever read' Bill Gates, 2017 'A brilliant, mind-altering book ... Everyone should read this astonishing book' Guardian 'Will change the way you see the world' Daily Mail Shortlisted for the Samuel Johnson Prize 2012 Wasn't the twentieth century the most violent in history? In his extraordinary, epic book Steven Pinker shows us that this is wrong, telling the story of humanity in a completely new and unfamiliar way. From why cities make us safer to how books bring about peace, Pinker weaves together history, philosophy and science to examine why we are less likely to die at another's hand than ever before, how it happened and what it tells us about our very natures. 'May prove to be one of the great books of our time ... he writes like an angel' Economist 'Masterly, a supremely important book ... For anyone interested in human nature, it is engrossing' The New York Times 'Marvellous ... riveting and myth-destroying' New Statesman 'A marvellous synthesis of science, history and storytelling, written in Pinker's distinctively entertaining and clear personal style ... I was astonished by the extent to which violence has declined in every shape, form and scale' Financial Times 'An outstandingly fruitful read, with fascinating nuggets on almost every page' Sunday Times, Books of the Year",,9780141959740,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925462i/5752.jpg,"'Biology', 'Nonfiction', 'Philosophy', 'Politics'], 'Science', 'Sociology', ['Psychology', nan","The Better Angels of Our Nature. steven pinker. 'Biology', 'Nonfiction', 'Philosophy', 'Politics'], 'Science', 'Sociology', ['Psychology', nan. 'The most inspiring book I've ever read' Bill Gates, 2017 'A brilliant, mind-altering book ... Everyone should read this astonishing book' Guardian 'Will change the way you see the world' Daily Mail Shortlisted for the Samuel Johnson Prize 2012 Wasn't the twentieth century the most violent in history? In his extraordinary, epic book Steven Pinker shows us that this is wrong, telling the story of humanity in a completely new and unfamiliar way. From why cities make us safer to how books bring about peace, Pinker weaves together history, philosophy and science to examine why we are less likely to die at another's hand than ever before, how it happened and what it tells us about our very natures. 'May prove to be one of the great books of our time ... he writes like an angel' Economist 'Masterly, a supremely important book ... For anyone interested in human nature, it is engrossing' The New York Times 'Marvellous ... riveting and myth-destroying' New Statesman 'A marvellous synthesis of science, history and storytelling, written in Pinker's distinctively entertaining and clear personal style ... I was astonished by the extent to which violence has declined in every shape, form and scale' Financial Times 'An outstandingly fruitful read, with fascinating nuggets on almost every page' Sunday Times, Books of the Year",0
The Plague,albert camus,"“Its relevance lashes you across the face.” —Stephen Metcalf, The Los Angeles Times • “A redemptive book, one that wills the reader to believe, even in a time of despair.” —Roger Lowenstein, The Washington Post A haunting tale of human resilience and hope in the face of unrelieved horror, Albert Camus' iconic novel about an epidemic ravaging the people of a North African coastal town is a classic of twentieth-century literature. The townspeople of Oran are in the grip of a deadly plague, which condemns its victims to a swift and horrifying death. Fear, isolation and claustrophobia follow as they are forced into quarantine. Each person responds in their own way to the lethal disease: some resign themselves to fate, some seek blame, and a few, like Dr. Rieux, resist the terror. An immediate triumph when it was published in 1947, The Plague is in part an allegory of France's suffering under the Nazi occupation, and a timeless story of bravery and determination against the precariousness of human existence.",,9780679720218,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347654509i/91950.jpg,"'Classics'], 'Essays', 'France', 'French Literature', 'Literature', 'Nonfiction', ['Philosophy', nan","The Plague. albert camus. 'Classics'], 'Essays', 'France', 'French Literature', 'Literature', 'Nonfiction', ['Philosophy', nan. “Its relevance lashes you across the face.” —Stephen Metcalf, The Los Angeles Times • “A redemptive book, one that wills the reader to believe, even in a time of despair.” —Roger Lowenstein, The Washington Post A haunting tale of human resilience and hope in the face of unrelieved horror, Albert Camus' iconic novel about an epidemic ravaging the people of a North African coastal town is a classic of twentieth-century literature. The townspeople of Oran are in the grip of a deadly plague, which condemns its victims to a swift and horrifying death. Fear, isolation and claustrophobia follow as they are forced into quarantine. Each person responds in their own way to the lethal disease: some resign themselves to fate, some seek blame, and a few, like Dr. Rieux, resist the terror. An immediate triumph when it was published in 1947, The Plague is in part an allegory of France's suffering under the Nazi occupation, and a timeless story of bravery and determination against the precariousness of human existence.",0
Unwind,neal shusterman,Three teens embark upon a cross-country journey in order to escape from a society that salvages body parts from children ages thirteen to eighteen.,,9781416912057,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1378899523i/12792658.jpg,"'Adventure'], 'Dystopia', 'Fantasy', 'Fiction', 'Horror', 'Science Fiction', ['Young Adult', nan","Unwind. neal shusterman. 'Adventure'], 'Dystopia', 'Fantasy', 'Fiction', 'Horror', 'Science Fiction', ['Young Adult', nan. Three teens embark upon a cross-country journey in order to escape from a society that salvages body parts from children ages thirteen to eighteen.",3
Dune,frank herbert,Paul Atreides moves with his family to the planet Dune and is forced into exile when his father's government is overthrown. The first book in the series. Copyright © Libri GmbH. All rights reserved.,,9780881036367,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388186151i/117.jpg,"'Audiobook'], 'Classics', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Space Opera', ['Science Fiction', nan","Dune. frank herbert. 'Audiobook'], 'Classics', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Space Opera', ['Science Fiction', nan. Paul Atreides moves with his family to the planet Dune and is forced into exile when his father's government is overthrown. The first book in the series. Copyright © Libri GmbH. All rights reserved.",3
A Walk in the Woods,bill bryson,"God only knows what possessed Bill Bryson, a reluctant adventurer if ever there was one, to undertake a gruelling hike along the world's longest continuous footpath—The Appalachian Trail. The 2,000-plus-mile trail winds through 14 states, stretching along the east coast of the United States, from Georgia to Maine. It snakes through some of the wildest and most spectacular landscapes in North America, as well as through some of its most poverty-stricken and primitive backwoods areas. With his offbeat sensibility, his eye for the absurd, and his laugh-out-loud sense of humour, Bryson recounts his confrontations with nature at its most uncompromising over his five-month journey. An instant classic, riotously funny, A Walk in the Woods will add a whole new audience to the legions of Bill Bryson fans.",,9780385674546,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565810646i/43582376.jpg,"'Audiobook', 'Biology', 'Health', 'Medical'], 'Medicine', 'Science', ['Nonfiction', nan","A Walk in the Woods. bill bryson. 'Audiobook', 'Biology', 'Health', 'Medical'], 'Medicine', 'Science', ['Nonfiction', nan. God only knows what possessed Bill Bryson, a reluctant adventurer if ever there was one, to undertake a gruelling hike along the world's longest continuous footpath—The Appalachian Trail. The 2,000-plus-mile trail winds through 14 states, stretching along the east coast of the United States, from Georgia to Maine. It snakes through some of the wildest and most spectacular landscapes in North America, as well as through some of its most poverty-stricken and primitive backwoods areas. With his offbeat sensibility, his eye for the absurd, and his laugh-out-loud sense of humour, Bryson recounts his confrontations with nature at its most uncompromising over his five-month journey. An instant classic, riotously funny, A Walk in the Woods will add a whole new audience to the legions of Bill Bryson fans.",0
Dirk Gently's Holistic Detective Agency,douglas adams,"Detective Gently whizzes about the world, the universe, and time itself as a group of eccentric characters help him find an eccentric cat, solve a murder, and save the human race.",,9780671746728,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873354i/6091075.jpg,"'Classics'], 'Comedy', 'Fantasy', 'Fiction', 'Humor', 'Science Fiction Fantasy', ['Science Fiction', nan","Dirk Gently's Holistic Detective Agency. douglas adams. 'Classics'], 'Comedy', 'Fantasy', 'Fiction', 'Humor', 'Science Fiction Fantasy', ['Science Fiction', nan. Detective Gently whizzes about the world, the universe, and time itself as a group of eccentric characters help him find an eccentric cat, solve a murder, and save the human race.",3
The Mystery of the Missing Necklace,enid blyton,"Fatty's disguises are better than ever. No one recognises him as a balloon seller, or as the old man in the village. Burglaries are going on and the police are baffled. It's a new mystery for the Five Find-Outers and Dog!",,9781405203975,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348500568i/17483.jpg,"'Adventure', 'Classics', 'Fiction', 'Middle Grade'], 'Mystery', 'Young Adult', ['Childrens', nan","The Mystery of the Missing Necklace. enid blyton. 'Adventure', 'Classics', 'Fiction', 'Middle Grade'], 'Mystery', 'Young Adult', ['Childrens', nan. Fatty's disguises are better than ever. No one recognises him as a balloon seller, or as the old man in the village. Burglaries are going on and the police are baffled. It's a new mystery for the Five Find-Outers and Dog!",3
How to Instantly Connect with Anyone: 96 All-New Little Tricks for Big Success in Relationships,leil lowndes,"This sequel to Leil’s international top selling “How to Talk to Anyone” makes you a master communicator with 96 all new cutting-edge communication “Little Tricks” for big success in business and social relationships—in person, by email, and on the phone. It has been praised as the 21st century version of “How to Win Friends and Influence People,” and was nominated one of the five best books in psychology by “Books for a Better Life!” The author introduces the psychologically sound concept, “Emotional Prediction” or E.P. which you can employ with everyone. Here are the ten sections of the book: 7 Little Tricks to Make a Great Impression Before People Even Meet You 11 Little Tricks to Take the “Hell” Out of “Hello,” and Put the “Good” in “Good-bye” 12 Little Tricks to Develop an Extraordinary Gift of Gab 10 Little Tricks to Actually Enjoy Parties 5 Little Tricks to Handle the Good, the Bad, and the Bummers 12 Little Tricks to Avoid the 13 Most Common Dumb Things You Should NEVER Say or Do 13 Little Tricks to be a Cool Communicator 11 Little Tricks to Give Your E-Mail Today’s Personality and Tomorrow’s Professionalism 10 Little Tricks to Make an Impression on your Cell (A.K.A. “Phone”) 5 Little Tricks to Deepen the Relationships You Already Have",,9780071545860,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388184197i/35210.jpg,"'Business', 'Communication', 'Nonfiction', 'Personal Development', 'Psychology', 'Relationships'], ['Self Help', nan","How to Instantly Connect with Anyone: 96 All-New Little Tricks for Big Success in Relationships. leil lowndes. 'Business', 'Communication', 'Nonfiction', 'Personal Development', 'Psychology', 'Relationships'], ['Self Help', nan. This sequel to Leil’s international top selling “How to Talk to Anyone” makes you a master communicator with 96 all new cutting-edge communication “Little Tricks” for big success in business and social relationships—in person, by email, and on the phone. It has been praised as the 21st century version of “How to Win Friends and Influence People,” and was nominated one of the five best books in psychology by “Books for a Better Life!” The author introduces the psychologically sound concept, “Emotional Prediction” or E.P. which you can employ with everyone. Here are the ten sections of the book: 7 Little Tricks to Make a Great Impression Before People Even Meet You 11 Little Tricks to Take the “Hell” Out of “Hello,” and Put the “Good” in “Good-bye” 12 Little Tricks to Develop an Extraordinary Gift of Gab 10 Little Tricks to Actually Enjoy Parties 5 Little Tricks to Handle the Good, the Bad, and the Bummers 12 Little Tricks to Avoid the 13 Most Common Dumb Things You Should NEVER Say or Do 13 Little Tricks to be a Cool Communicator 11 Little Tricks to Give Your E-Mail Today’s Personality and Tomorrow’s Professionalism 10 Little Tricks to Make an Impression on your Cell (A.K.A. “Phone”) 5 Little Tricks to Deepen the Relationships You Already Have",0
Me Before You (Movie Tie-In),jojo moyes,"Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living.",,9780143109464,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1665087720i/17347634.jpg,"'Adult Fiction', 'Adult', 'Audiobook'], 'Chick Lit', 'Contemporary', 'Fiction', ['Romance', nan","Me Before You (Movie Tie-In). jojo moyes. 'Adult Fiction', 'Adult', 'Audiobook'], 'Chick Lit', 'Contemporary', 'Fiction', ['Romance', nan. Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living.",0
Prince Charming,julie garwood,"Beautiful Taylor Baker, whose fiance has eloped with her odious cousin and whose greedy uncle has his own plans for her, escapes to Montana with rough-edged American Lucas Ross.",,9780671870966,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295998049i/107778.jpg,"'Fiction', 'Historical Fiction', 'Historical', 'Medieval', 'Romance', 'Scotland'], ['Historical Romance', nan","Prince Charming. julie garwood. 'Fiction', 'Historical Fiction', 'Historical', 'Medieval', 'Romance', 'Scotland'], ['Historical Romance', nan. Beautiful Taylor Baker, whose fiance has eloped with her odious cousin and whose greedy uncle has his own plans for her, escapes to Montana with rough-edged American Lucas Ross.",9
Daughter of the Forest,juliet marillier,Fantasy-roman.,,9780765343437,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442558223i/6391467.jpg,"'Fairy Tales', 'Fiction'], 'Historical Fiction', 'Retellings', 'Romance', 'Young Adult', ['Fantasy', nan","Daughter of the Forest. juliet marillier. 'Fairy Tales', 'Fiction'], 'Historical Fiction', 'Retellings', 'Romance', 'Young Adult', ['Fantasy', nan. Fantasy-roman.",3
The Little Prince,unknown,"A man has an accident in the Sahara Desert, and encounters the Little Prince.",,9780152023980,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375601632i/7100277.jpg,"'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan","The Little Prince. unknown. 'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan. A man has an accident in the Sahara Desert, and encounters the Little Prince.",2
