title,author,description,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13
Robinson Crusoe,daniel defoe,"I cast my eyes to the stranded vessel, when the breach and froth of the sea being so big, I could hardly see it, it lay so far off, and considered, Lord! how was it possible I could get on shore? After I had solaced my mind with the comfortable part of my condition, I began to look round me to see what kind of place I was in, and what was next to be done, and I soon found my comforts abate, and that, in a word, I had a dreadful deliverance; for I was wet, had no clothes to shift me, nor anything either to eat or drink to comfort me, neither did I see any prospect before me but that of perishing with hunger, of being devoured by wild beasts; and that which was particularly afflicting to me was that I had no weapon either to hunt and kill any creature for my sustenance, or to defend myself against any other creature that might desire to kill me for theirs. In a word, I had nothing about me but a knife, a tobacco-pipe, and a little tobacco in a box. This was all my provision; and this threw me into terrible agonies of mind, that for a while I ran about like a madman. Night coming upon me, I began, with a heavy heart, to consider what would be my lot if there were any ravenous beasts in that country, seeing at night they always come abroad for their prey.",Fiction,,,,2004,268.0,0809594617,9780809594610
Robinson Crusoe,daniel defoe,"The Life and Strange Surprising Adventures of Robinson Crusoe (of York, Mariner Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of America, near the Mouth of the Great River of Oroonoque; Having been cast on Shore by Shipwreck, where in all the Men perished but Himself. With An Account how he was at last as strangely deliver'd by Pyrates) is a novel by Daniel Defoe, first published in 1719 and sometimes regarded as the first novel...",Fiction,,,Independently Published,2019-01-24,574.0,179503999X,9781795039994
The Divine Comedy Illustrated,dante alighieri,"The Divine Comedy (Italian: Divina Commedia) is a long Italian narrative poem by Dante Alighieri, begun c. 1308 and completed in 1320, a year before his death in 1321. It is widely considered to be the pre-eminent work in Italian literature and one of the greatest works of world literature. The poem's imaginative vision of the afterlife is representative of the medieval world-view as it had developed in the Western Church by the 14th century. It helped establish the Tuscan language, in which it is written (also in most present-day Italian-market editions), as the standardized Italian language. It is divided into three parts: Inferno, Purgatorio, and Paradiso.",,,,,2021-04-23,502.0,,9798743069774
The Idiot (Annotated),fyodor fyodor dostoyevsky,"The Idiot is a novel by the 19th-century Russian author Fyodor Dostoyevsky. It was first published serially in the journal The Russian Messenger in 1868-9. The title is an ironic reference to the central character of the novel, Prince Lyov Nikolaevich Myshkin, a young man whose goodness and open-hearted simplicity lead many of the more worldly characters he encounters to mistakenly assume that he lacks intelligence and insight. In the character of Prince Myshkin, Dostoevsky set himself the task of depicting ""the positively good and beautiful man."" The novel examines the consequences of placing such a unique individual at the centre of the conflicts, desires, passions and egoism of worldly society, both for the man himself and for those with whom he becomes involved. The result, according to philosopher A.C. Grayling, is ""one of the most excoriating, compelling and remarkable books ever written; and without question one of the greatest.""",,,,Createspace Independent Publishing Platform,2016-02-17,556.0,1523624981,9781523624980
The Art of War Annotated,sun tzu,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC). The work, which is attributed to the ancient Chinese military strategist Sun Tzu (""Master Sun"", also spelled Sunzi), is composed of 13 chapters. Each one is devoted to an aspect of warfare and how it applies to military strategy and tactics. For almost 1,500 years it was the lead text in an anthology that would be formalised as the Seven Military Classics by Emperor Shenzong of Song in 1080. The Art of War remains the most influential strategy text in East Asian warfare[1] and has influenced both Eastern and Western military thinking, business tactics, legal strategy, lifestyles and beyond.",,,,,2020-07-28,60.0,,9798670233521
The Picture of Dorian Gray Illustrated,oscar wilde,"The Picture of Dorian Gray is a Gothic and philosophical novel by Oscar Wilde, first published complete in the July 1890 issue of Lippincott's Monthly Magazine.Fearing the story was indecent, the magazine's editor deleted roughly five hundred words before publication without Wilde's knowledge. Despite that censorship, The Picture of Dorian Gray offended the moral sensibilities of British book reviewers, some of whom said that Oscar Wilde merited prosecution for violating the laws guarding public morality. In response, Wilde aggressively defended his novel and art in correspondence with the British press, although he personally made excisions of some of the most controversial material when revising and lengthening the story for book publication the following year.",,,,,2020-08-07,272.0,,9798673267806
The Sorrows of Young Werther,johann wolfgang von goethe,"""The Sorrows of Young Werther"" is the 1774 epistolary novel by Johann Goethe. A loosely autobiographical novel, ""The Sorrows of Young Werther"" tells the story of its title character, an artist with a highly sensitive and passionate temperament who falls in love with Lotte, a beautiful young girl who is promised to another in the fictional village of Wahlheim. A classic and tragic love story, ""The Sorrows of Young Werther"" established Goethe as an international literary celebrity and heavily influenced later Romantic works.",Fiction,,,Digireads.com Publishing,2008-01-01,100.0,1420931598,9781420931594
"The Life and Adventures of Robinson Crusoe, of York, Mariner",daniel defoe,"Daniel Defoe (1659/1661-1731) was an English writer, journalist and spy, who gained enduring fame for his novel Robinson Crusoe (1719). Defoe is notable for being one of the earliest practitioners of the novel and helped popularise the genre in Britain. In some texts he is even referred to as one of the founders, if not the founder, of the English novel. A prolific and versatile writer, he wrote over five hundred books, pamphlets, and journals on various topics (including politics, crime, religion, marriage, psychology and the supernatural). He is also a pioneer of economic journalism. His most famous novel, Robinson Crusoe (1719), tells of a man's shipwreck on a desert island and his subsequent adventures. He also wrote Captain Singleton (1720), which portrays the redemptive power of one man's love for another; and Moll Flanders (1722), a picaresque first-person narration of the fall and eventual redemption of a lone woman in 17th century England.",Fiction,,,,2007-11,260.0,140659766X,9781406597660
Martin Eden by Jack London,jack london,"First serialized in 1908, ""Martin Eden"" is Jack London's classic and tragic tale of its title character and his struggle to become a writer. Martin Eden is an idealistic and self-educated young man who struggles to overcome poverty and a lack of opportunities in a quest to become an educated and successful artist. He hopes to find acceptance in the world of the wealthy and refined, though he finds it hard to shake off his coarse working-class background. Eden falls in love with Ruth Morse, but he feels that he is not good enough to win her hand, as she comes from a bourgeois family. Eden hopes that she will wait for him while he seeks to establish himself as a successful writer and improve his social status so that he may one day feel worthy of his true love. The novel is heartbreaking, tragic, and rich with the themes of class struggle and prejudice. It is also hopeful in its faith in art to transform lives and has inspired countless young writers and artists to follow their dreams. ""Martin Eden"" remains one of Jack London's best-loved works. This edition is printed on premium acid-free paper.",,,,,2020-10-25,60.0,,9798552930869
Resurrection,leo tolstoy,"While serving as a juror at the trial of a prostitute, Prince Nekhlyudov recognizes the defendant as a young servant girl he once loved and abandoned and tries to rectify the situation.--Résumé de l'éditeur.",Fiction,,,ePenguin,1947,578.0,,
The Handmaid's Tale,margaret atwood,"Now a Hulu Original Series The Handmaid's Tale is a novel of such power that the reader will be unable to forget its images and its forecast. Set in the near future, it describes life in what was once the United States and is now called the Republic of Gilead, a monotheocracy that has reacted to social unrest and a sharply declining birthrate by reverting to, and going beyond, the repressive intolerance of the original Puritans. The regime takes the Book of Genesis absolutely at its word, with bizarre consequences for the women and men in its population. The story is told through the eyes of Offred, one of the unfortunate Handmaids under the new social order. In condensed but eloquent prose, by turns cool-eyed, tender, despairing, passionate, and wry, she reveals to us the dark corners behind the establishment's calm facade, as certain tendencies now in existence are carried to their logical conclusions. The Handmaid's Tale is funny, unexpected, horrifying, and altogether convincing. It is at once scathing satire, dire warning, and a tour de force. It is Margaret Atwood at her best.",Fiction,,,Houghton Mifflin,2017-04-25,320.0,1328879941,9781328879943
The Boleyn Inheritance,philippa gregory,"THREE WOMEN WHO SHARE ONE FATE: THE BOLEYN INHERITANCE ANNE OF CLEVES She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses. KATHERINE HOWARD She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe. JANE ROCHFORD She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul. The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life -- the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.",Fiction,5.0,1.0,Simon and Schuster,2008-12-30,596.0,1439124671,9781439124673
How to Observe. Morals and Manners,harriet martineau,"Reprint of the original, first published in 1838. The Antigonos publishing house specialises in the publication of reprints of historical books. We make sure that these works are made available to the public in good condition in order to preserve their cultural heritage.",Fiction,,,BoD – Books on Demand,2025-07-27,254.0,3563358842,9783563358849
To the Lighthouse,virginia woolf,"To the Lighthouse (5 May 1927) is a novel by Virginia Woolf. A landmark novel of high modernism, the text, centering on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920, skillfully manipulates temporality and psychological exploration.To the Lighthouse follows and extends the tradition of modernist novelists like Marcel Proust and James Joyce, where the plot is secondary to philosophical introspection, and the prose can be...",,,,Independently Published,2019-05-04,402.0,1095442619,9781095442616
All Around the Moon (illustrated Edition),jules verne,"Around the Moon, also translated as Circling the Moon and All Around the Moon, is the sequel to Jules Verne's 1865 novel, From the Earth to the Moon. It's a science fiction tale which continues the trip to the moon that was only begun in the first novel.",,,,,2021-04-05,398.0,,9798733407074
The Wind in the Willows,kenneth grahame,"The Wind in the Willows, the story of four animals and their adventures in the idyllic English countryside, started out as bedtime stories Grahame would tell his son. He eventually started writing them down, and finally produced this much-loved childrens classic. In continuous print since 1908, The Wind in the Willows has been illustrated countless times and adapted to stage, radio, and screen. This book is part of the Standard Ebooks project, which produces free public domain ebooks.",Fiction,,,Standard Ebooks,2015-10-30T23:56:40Z,194.0,,
A Christmas Carol Illustrated,charles dickens,"""A Christmas Carol. In Prose. Being a Ghost Story of Christmas, commonly known as A Christmas Carol, is a novella by Charles Dickens, first published in London by Chapman & Hall in 1843 and illustrated by John Leech. A Christmas Carol recounts the story of Ebenezer Scrooge, an elderly miser who is visited by the ghost of his former business partner Jacob Marley and the spirits of Christmas Past, Present and Yet to Come. After their visits, Scrooge is transformed into a kinder, gentler man.Dickens wrote A Christmas Carol during a period when the British were exploring and re-evaluating past Christmas traditions, including carols and newer customs such as Christmas trees. He was influenced by the experiences of his own youth and by the Christmas stories of other authors including Washington Irving and Douglas Jerrold. Dickens had written three Christmas stories prior to the novella, and was inspired following a visit to the Field Lane Ragged School, one of several establishments for London's street children. The treatment of the poor and the ability of a selfish man to redeem himself by transforming into a more sympathetic character are the key themes of the story. There is discussion among academics as to whether this was a fully secular story, or if it is a Christian allegory.""",,,,,2020-07-08,116.0,,9798664564921
The Canterville Ghost,oscar wilde,"""The Canterville Ghost"" is a parody featuring a dramatic spirit named Sir Simon and the United States minister (ambassador) to the Court of St. James's, Hiram B. Otis. Mr. Otis travels to England with his family and moves into a haunted country house. Lord Canterville, the previous owner of the house, warns Mr. Otis that the ghost of Sir Simon de Canterville has haunted it ever since he killed his wife, Eleonore, three centuries before. But Mr. Otis dismisses the ghost story as bunk and disregards Lord Canterville's warnings. When the Otises learn that the house is indeed haunted, they succeed in victimizing the ghost and in disregarding age-old British traditions. What emerges is a satire of American materialism, a lampoon of traditional British values, and an amusing twist on the traditional gothic horror tale.",,,,,2016-12-14,72.0,1541108086,9781541108080
The Complete Short Stories of Ernest Hemingway,ernest hemingway,THIS VOLUME COLLECTS ALL 71 OF HEMINGWAY'S SHORT STORIES AND INCLUDES A PAIR OF ELOQUENT TRIBUTES TO THE AUTHOR.,Fiction,4.0,2.0,Scribner Paper Fiction,1987,650.0,0020332009,9780020332008
The Canterville Ghost,"oscar wilde, j. v. editors","""The Canterville Ghost"" is a parody featuring a dramatic spirit named Sir Simon and the United States minister (ambassador) to the Court of St. James's, Hiram B. Otis. Mr. Otis travels to England with his family and moves into a haunted country house. Lord Canterville, the previous owner of the house, warns Mr. Otis that the ghost of Sir Simon de Canterville has haunted it ever since he killed his wife, Eleonore, three centuries before. But Mr. Otis dismisses the ghost story as bunk and disregards Lord Canterville's warnings. When the Otises learn that the house is indeed haunted, they succeed in victimizing the ghost and in disregarding age-old British traditions. What emerges is a satire of American materialism, a lampoon of traditional British values, and an amusing twist on the traditional gothic horror tale.",,,,Createspace Independent Publishing Platform,2017-10-24,48.0,1979142866,9781979142861
Manuscript Found in Accra,paulo coelho,"The latest novel from #1 internationally bestselling author Coelho is a classic of inspiration and reflection. A novel of philosophical reflection set in Jerusalem during the time of the Crusades. Here a community of Christians, Arabs, and Jews who have long lived together harmoniously have been warned of an imminent attack and certain destruction.",Crusades,,,Knopf Publishing Group,2013,190.0,0732297729,9780732297725
Vathek,william beckford,"Beckford's Gothic novel, ""Vathek"", an Arabian tale, was originally written in French when the author was 21. It is the story of Caliph Vathek, whose eye can kill at a glance, who makes a pact with the Devil, Eblis",Fiction,,,Oxford Paperbacks,1983-04-28,224.0,0191605816,9780191605819
The Black Tulip,alexandre dumas,"Cornelius von Baerle lives only to cultivate the elusive black tulip and win a magnificent prize for its creation. But when his powerful godfather is assassinated, the unwitting Cornelius becomes caught up in a deadly political intrigue. Falsely accused of high treason by a bitter rival, Cornelius is condemned to life in prison. His only comfort is Rosa, the jailer's beautiful daughter, who helps him concoct a plan to grow the black tulip in secret. As Robin Buss explains in his informative introduction, Dumas infuses his story with elements from the history of the Dutch Republic (including two brutal murders) and Holland's seventeenth-century ""tulipmania"" phenomenon.",Fiction,,,Simon and Schuster,2014-01-01,314.0,1609771028,9781609771027
Number One Ladies' Detective Agency,alexander mccall smith,"Working in Gaborone, Botswana, sleuth Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week. Reprint. 12,500 first printing.",Fiction,,,Anchor,2002,242.0,1400031346,9781400031344
Frankenstein,mary wollstonecraft shelley,"Why buy our paperbacks? Standard Font size of 10 for all books High Quality Paper Fulfilled by Amazon Expedited shipping 30 Days Money Back Guarantee BEWARE of Low-quality sellers Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. How is this book unique? Unabridged (100% Original content) Font adjustments & biography included Illustrated About Frankenstein by Mary Wollstonecraft Shelley Frankenstein; or, The Modern Prometheus is a novel written by the English author Mary Wollstonecraft Shelley about the young science student Victor Frankenstein, who creates a grotesque but sentient creature in an unorthodox scientific experiment. Shelley started writing the story when she was eighteen, and the novel was published when she was twenty. The first edition was published anonymously in London in 1818. Shelley's name appears on the second edition, published in France in 1823. Shelley had travelled through Europe in 1814, journeying along the river Rhine in Germany with a stop in Gernsheim which is just 17 km (10 mi) away from Frankenstein Castle, where, two centuries before, an alchemist was engaged in experiments. Later, she travelled in the region of Geneva (Switzerland)-where much of the story takes place-and the topic of galvanism and other similar occult ideas were themes of conversation among her companions, particularly her lover and future husband, Percy Shelley. Mary, Percy, Lord Byron, and John Polidori decided to have a competition to see who could write the best horror story. After thinking for days, Shelley dreamt about a scientist who created life and was horrified by what he had made; her dream later evolved into the novel's story.",,,,Createspace Independent Publishing Platform,2016-12-09,164.0,1540801381,9781540801388
Ecstasy,irvine welsh,"A bestsellig romance author suffers a paralyzing stroke and her philandering husband wonders how this will affect his gambling and whoring budget; two young lovers must come to terms with their chemically induced deformity; Lloyd from Leith transfigures his passion for an unhappily married woman. These three tales confirm Irvine Welsh's position as a master of the ""chemical"" romance genre.",Fiction,3.5,6.0,W. W. Norton & Company,1996,292.0,0393315819,9780393315813
The Canterbury Tales,geoffrey chaucer,A translation into modern English of the medieval poem about a group of travelers on a pilgrimage to Canterbury and the tales they tell each other.,Fiction,,,Penguin Classics,1977,534.0,,
David Copperfield,charles dickens,David Copperfield is a somewhat autobiographical novel that tells the story of a poor young boy who becomes a famous writer. This is Dickens' eighth novel and is widely regarded as the first of his mature novels.,,,,Independently Published,2019-04-23,760.0,1095616706,9781095616703
Dark Lover,j.r. ward,"Experience the start of J.R. Ward’s phenomenal #1 New York Times bestselling Black Dagger Brotherhood series. DON'T MISS PASSIONFLIX'S THE BLACK DAGGER BROTHERHOOD SERIES As the world’s only purebred vampire and the leader of the Black Dagger Brotherhood, Wrath has a score to settle with the slayers who killed his parents centuries ago. But when his most trusted fighter is killed—orphaning a half-breed daughter unaware of her heritage or her fate—Wrath must put down his dagger and usher the beautiful woman into another world. Racked by a restlessness in her body that wasn’t there before, Beth Randall is helpless against the dangerously sexy man who comes to her at night with shadows in his eyes. His tales of the Brotherhood and blood frighten her. Yet his touch ignites a dawning new hunger—one that threatens to consume them both.... INCLUDES A LETTER FROM J. R. WARD",Fiction,,,Penguin,2014-02-19,3.0,0451468104,9780451468109
Mansfield Park Illustrated,jane austen,"""Mansfield Park is the third published novel by Jane Austen, first published in 1814 by Thomas Egerton. A second edition was published in 1816 by John Murray, still within Austen's lifetime. The novel did not receive any public reviews until 1821.The novel tells the story of Fanny Price, starting when her overburdened family sends her at age ten to live in the household of her wealthy aunt and uncle and following her development into early adulthood. From early on critical interpretation has been diverse, differing particularly over the character of the heroine, Austen's views about theatrical performance and the centrality or otherwise of ordination and religion, and on the question of slavery. Some of these problems have been highlighted in the several later adaptations of the story for stage and screen.""",,,,,2020-09-11,550.0,,9798685323408
Pudd'nhead Wilson,mark twain,"Enriched Classics offer readers accessible editions of great works of literature enhanced by helpful notes and commentary. Each book includes educational tools alongside the text, enabling students and readers alike to gain a deeper and more developed understanding of the writer and their work. Mark Twain's darkly comic short classic set in the antebellum South stands as a literary condemnation of slavery and racial inequality. This edition includes: -A concise introduction that gives readers important background information -A chronology of the author's life and work -A timeline of significant events that provides the book's historical context -An outline of key themes and plot points to help readers form their own interpretations -Detailed explanatory notes -Critical analysis, including contemporary and modern perspectives on the work -Discussion questions to promote lively classroom and book group interaction -A list of recommended related books and films to broaden the reader's experience Enriched Classics offer readers affordable editions of great works of literature enhanced by helpful notes and insightful commentary. The scholarship provided in Enriched Classics enables readers to appreciate, understand, and enjoy the world's finest books to their full potential.",Fiction,,,Simon and Schuster,2016-05-24,260.0,1439117136,9781439117132
The Hunchback of Notre Dame (Annotated),victor hugo,"""The Hunchback of Notre Dame (French: Notre-Dame de Paris) is an 1831 French novel written by Victor Hugo. It is set in 1482 in Paris, in and around the cathedral of Notre Dame de Paris. The book tells the story of a poor barefoot Gypsy girl (La Esmeralda) and a misshapen bell-ringer (Quasimodo) who was raised by the Archdeacon (Claude Frollo). The book was written as a statement to preserve the Notre Dame cathedral and not to 'modernize' it, as Hugo was thoroughly against this.The story begins during the Renaissance in 1482, the day of the Festival of Fools in Paris. Quasimodo, the deformed bell ringer, is introduced by his crowning as Pope of Fools.Esméralda, a beautiful 16-year-old gypsy with a kind and generous heart, captures the hearts of many men but especially Quasimodo's adopted father, Claude Frollo. Frollo is torn between his lust and the rules of the church. He orders Quasimodo to get her. Quasimodo is caught and whipped and ordered to be tied down in the heat. Esméralda seeing his thirst, offers him water. It saves her, for she captures the heart of the hunchback.""",,,,,2021-05-16,684.0,,9798502487719
Pride and Prejudice,"jane austen, nora begona","One of the most universally loved and admired English novels, Pride and Prejudice was penned as a popular entertainment. But the lovable artist Jane Austen (1775-1817) transformed this effervescent tale of rural romance into a witty, shrewdly observed satire of English country life that is now regarded as one of the principal treasures of English language.In a remote Hertfordshire village, far off the good coach roads of George III's England, a country squire of no great means must marry off his five vivacious daughters. At the heart of this all-consuming enterprise are his headstrong second daughter Elizabeth Bennet and her aristocratic suitor Fitzwilliam Darcy - two lovers whose pride must be humbled and prejudices dissolved before the novel can come to its splendid conclusion",,,,,2016-06-20,268.0,1534802738,9781534802735
The Ice Princess,camilla läckberg,"In this electrifying tale of suspense from an international crime-writing sensation, a grisly death exposes the dark heart of a Scandinavian seaside village. Erica Falck returns to her tiny, remote hometown of Fjällbacka, Sweden, after her parents’ deaths only to encounter another tragedy: the suicide of her childhood best friend, Alex. It’s Erica herself who finds Alex’s body—suspended in a bathtub of frozen water, her wrists slashed. Erica is bewildered: Why would a beautiful woman who had it all take her own life? Teaming up with police detective Patrik Hedström, Erica begins to uncover shocking events from Alex’s childhood. As one horrifying fact after another comes to light, Erica and Patrik’s curiosity gives way to obsession—and their flirtation grows into uncontrollable attraction. But it’s not long before one thing becomes very clear: a deadly secret is at stake, and there’s someone out there who will do anything—even commit murder—to protect it. Fans of Scandinavian greats Stieg Larsson and Henning Mankell will devour Camilla Läckberg’s penetrating portrait of human nature at its darkest.",Fiction,,,Pocket Books,2011-03-29,0.0,1451621760,9781451621761
